label,value,standard_error,expression,maximum,minimum,non_negative,vary
irf.center1,-0.03,None,None,,,False,False
irf.width1,0.01,None,None,,,False,False
irfWLtr1.center,56.5529518,None,None,,,False,False
irfWLtr1.width1,2.27663589,None,None,,,False,False
irfWLtr1.width2,2.17008972,None,None,,,False,False
irfWLtr1.scale1,1.0,None,None,,,False,False
irfWLtr1.scale2,0.389486313,None,None,,,False,False
irfWLtr2.center,56.0493965,None,None,,,False,False
irfWLtr2.width1,2.7866466,None,None,,,False,False
irfWLtr2.width2,6.97399044,None,None,,,False,False
irfWLtr2.scale1,1.0,None,None,,,False,False
irfWLtr2.scale2,0.184656933,None,None,,,False,False
irfFRLtr1.center,56.7851372,None,None,,,False,False
irfFRLtr1.width1,1.6984452,None,None,,,False,False
irfFRLtr1.width2,4.13698006,None,None,,,False,False
irfFRLtr1.scale1,1.0,None,None,,,False,False
irfFRLtr1.scale2,0.794446111,None,None,,,False,False
irfFRLtr2.center,55.8798828,None,None,,,False,False
irfFRLtr2.width1,2.63838458,None,None,,,False,False
irfFRLtr2.width2,2.80202222,None,None,,,False,False
irfFRLtr2.scale1,1.0,None,None,,,False,False
irfFRLtr2.scale2,0.459647924,None,None,,,False,False
irfFRLtr4.center,212.440552,None,None,,,False,False
irfFRLtr4.width1,7.53109264,None,None,,,False,False
irfFRLtr4.width2,21.6174984,None,None,,,False,False
irfFRLtr4.scale1,1.0,None,None,,,False,False
irfFRLtr4.scale2,0.250298738,None,None,,,False,False
CT7203rates.kF,0.000273,None,None,,,False,False
CT7203rates.kFa2,0.00524,0.044388054,None,,,False,False
CT7203rates.kFf,0.0002,None,None,,,False,False
CT7203rates.WLRP1,0.0585,None,$rates.WLRP1,,,False,False
CT7203rates.FRLRP1,0.06,None,$rates.FRLRP1,,,False,False
CT7203rates.gRed1C,-0.4027595535422221,0.0043677375451640615,None,,,False,True
CT7203rates.gRed2C,-0.30902377068184944,0.00413912618093705,None,,,False,True
CT7203rates.ToBulkFromRed1,0.332168822,0.004200691,$rates.ToBulkFromRed1,,,False,False
CT7203rates.ToRed1FromBulk,0.22204582647487459,None,$CT7203rates.ToBulkFromRed1*exp($CT7203rates.gRed1C),,,False,False
CT7203rates.ToBulkFromRed2,0.052336103,0.004673263,$rates.ToBulkFromRed2,,,False,False
CT7203rates.ToRed2FromBulk,0.03842324704307723,None,$CT7203rates.ToBulkFromRed2*exp($CT7203rates.gRed2C),,,False,False
CT7203rates.gChlf1C,2.43595169,0.006062651,None,,,False,False
CT7203rates.gChlf2C,3.280318521,0.004569012,None,,,False,False
CT7203rates.ToBulkFromChlf1,0.011310507,0.005548847,$rates.ToBulkFromChlf1,,,False,False
